x	y
[7.0, 3.0, 2.0, 4.0, 0.0]	[88.5714, -0.0272558, -4.09, -700.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[7.0, 2.0, 1.0, 3.0, 4.0]	[85.7143, -0.0281623, -6.760000000000001, -700.0]
[7.0, 2.0, 1.0, 3.0, 2.0]	[91.4286, -0.0274645, -4.4, -700.0]
[7.0, 2.0, 1.0, 3.0, 3.0]	[97.1429, -0.026808, -5.21, -700.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 7.0, 0.0, 5.0, 5.0]	[70.0, -0.0258881, -9.74, -1000.0]
[6.0, 3.0, 0.0, 4.0, 2.0]	[92.5, -0.0278199, -4.39, -600.0]
[7.0, 2.0, 0.0, 4.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[10.0, 0.0, 3.0, 8.0, 7.0]	[100.0, -0.02851, -26.020000000000003, -1000.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[5.0, 4.0, 0.0, 3.0, 5.0]	[62.0, -0.0281806, -9.14, -500.0]
[5.0, 2.0, 0.0, 5.0, 3.0]	[76.0, -0.0284752, -5.13, -500.0]
[7.0, 2.0, 0.0, 4.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[3.0, 0.0, 0.0, 3.0, 7.0]	[67.5, -0.0292406, -25.07, -300.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 2.0, 3.0, 3.0, 2.0]	[68.0, -0.0274506, -5.0200000000000005, -1000.0]
[6.0, 4.0, 1.0, 7.0, 6.0]	[93.75, -0.029656, -16.119999999999997, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[5.0, 6.0, 5.0, 8.0, 7.0]	[100.0, -0.0310404, -28.27, -500.0]
[1.0, 0.0, 0.0, 8.0, 7.0]	[16.4, -0.0218232, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 0.0, 0.0, 7.0, 7.0]	[16.4, -0.0218232, -1000000.0, -100.0]
[1.0, 2.0, 0.0, 8.0, 7.0]	[18.8, -0.0223889, -1000000.0, -100.0]
[5.0, 6.0, 5.0, 3.0, 6.0]	[96.0, -0.030886, -15.76, -500.0]
[8.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0292085, -27.619999999999997, -800.0]
[1.0, 1.0, 1.0, 8.0, 7.0]	[20.4, -0.0226495, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 7.0, 0.0, 8.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 0.0, 0.0, 8.0, 5.0]	[16.4, -0.0220406, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 4.0, 5.0, 6.0, 5.0]	[100.0, -0.0286051, -11.05, -1000.0]
[7.0, 2.0, 0.0, 4.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[7.0, 5.0, 2.0, 5.0, 7.0]	[94.2857, -0.0293847, -27.150000000000002, -700.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[7.0, 3.0, 0.0, 4.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[1.0, 0.0, 5.0, 3.0, 0.0]	[7.8, -0.0242633, -1000000.0, -100.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[3.0, 0.0, 0.0, 8.0, 6.0]	[68.125, -0.0288277, -15.33, -300.0]
[7.0, 2.0, 3.0, 8.0, 7.0]	[100.0, -0.0295022, -28.56, -700.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 1.0, 0.0, 7.0, 6.0]	[16.6, -0.0221636, -1000000.0, -100.0]
[10.0, 7.0, 0.0, 5.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 0.0, 0.0, 8.0, 0.0]	[7.2, -0.0237069, -1000000.0, -100.0]
[10.0, 7.0, 3.0, 8.0, 4.0]	[100.0, -0.0284917, -8.61, -1000.0]
[1.0, 2.0, 0.0, 4.0, 7.0]	[18.8, -0.0223889, -1000000.0, -100.0]
[7.0, 2.0, 0.0, 4.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[1.0, 2.0, 0.0, 6.0, 7.0]	[18.8, -0.0223889, -1000000.0, -100.0]
[1.0, 0.0, 0.0, 4.0, 7.0]	[16.4, -0.0218232, -1000000.0, -100.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 3.0, 0.0, 8.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]
[1.0, 7.0, 0.0, 3.0, 7.0]	[18.0, -0.0221753, -1000000.0, -100.0]
[1.0, 7.0, 2.0, 3.0, 7.0]	[21.0, -0.0224478, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 5.0, 1.0, 3.0, 7.0]	[18.6, -0.0224969, -1000000.0, -100.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[6.0, 2.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 7.0, 0.0, 5.0, 7.0]	[18.0, -0.0221753, -1000000.0, -100.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[1.0, 7.0, 0.0, 8.0, 7.0]	[18.0, -0.0221753, -1000000.0, -100.0]
[1.0, 5.0, 0.0, 7.0, 7.0]	[18.8, -0.0224619, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 7.0, 2.0, 5.0, 7.0]	[21.0, -0.0228468, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 0.0, 0.0, 8.0, 3.0]	[74.0, -0.0255276, -5.13, -1000.0]
[1.0, 7.0, 5.0, 6.0, 7.0]	[21.6, -0.0228999, -1000000.0, -100.0]
[7.0, 2.0, 0.0, 3.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[1.0, 5.0, 0.0, 5.0, 7.0]	[18.8, -0.0224619, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 7.0, 1.0, 4.0, 7.0]	[19.8, -0.0226218, -1000000.0, -100.0]
[1.0, 7.0, 0.0, 7.0, 7.0]	[18.0, -0.0221753, -1000000.0, -100.0]
[1.0, 7.0, 2.0, 8.0, 7.0]	[21.8, -0.0226227, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 3.0, 0.0, 8.0, 4.0]	[70.0, -0.0259177, -6.36, -1000.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 4.0, 2.0, 8.0, 7.0]	[21.6, -0.0227187, -1000000.0, -100.0]
[1.0, 6.0, 1.0, 7.0, 7.0]	[21.0, -0.0227268, -1000000.0, -100.0]
[1.0, 7.0, 4.0, 5.0, 7.0]	[21.8, -0.0230803, -1000000.0, -100.0]
[1.0, 7.0, 3.0, 7.0, 7.0]	[21.6, -0.0238061, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 1.0, 1.0, 3.0, 7.0]	[17.8, -0.0220909, -1000000.0, -100.0]
[10.0, 0.0, 2.0, 8.0, 0.0]	[22.0, -0.0226165, -3.78, -1000.0]
[1.0, 3.0, 1.0, 5.0, 7.0]	[20.4, -0.0230101, -1000000.0, -100.0]
[1.0, 5.0, 1.0, 8.0, 7.0]	[21.0, -0.0227148, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[1.0, 1.0, 0.0, 3.0, 6.0]	[16.6, -0.0221636, -1000000.0, -100.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[6.0, 3.0, 0.0, 4.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
