x	y
[2.0, 0.0, 3.0, 3.0, 5.0]	[46.0, -0.0324597, -9.92, -200.0]
[7.0, 1.0, 5.0, 3.0, 3.0]	[95.7143, -0.0286705, -5.28, -700.0]
[8.0, 3.0, 4.0, 4.0, 4.0]	[100.0, -0.029132, -7.08, -800.0]
[8.0, 1.0, 0.0, 7.0, 4.0]	[85.0, -0.0264823, -6.5, -800.0]
[6.0, 1.0, 0.0, 5.0, 4.0]	[90.0, -0.0274423, -6.44, -600.0]
[8.0, 2.0, 0.0, 6.0, 3.0]	[90.0, -0.0267895, -5.25, -800.0]
[7.0, 2.0, 0.0, 6.0, 4.0]	[80.0, -0.0274863, -6.15, -700.0]
[8.0, 0.0, 0.0, 6.0, 3.0]	[86.6667, -0.0264443, -5.14, -800.0]
[9.0, 1.0, 0.0, 7.0, 2.0]	[74.0, -0.0254841, -4.52, -900.0]
[4.0, 6.0, 3.0, 6.0, 2.0]	[100.0, -0.0304559, -4.43, -400.0]
[8.0, 1.0, 0.0, 5.0, 3.0]	[88.3333, -0.0268441, -5.25, -800.0]
[9.0, 1.0, 1.0, 6.0, 3.0]	[80.0, -0.0260373, -5.46, -900.0]
[10.0, 2.0, 0.0, 7.0, 3.0]	[74.0, -0.0257271, -5.17, -1000.0]
[6.0, 2.0, 3.0, 4.0, 0.0]	[93.75, -0.0290915, -4.04, -600.0]
[10.0, 1.0, 4.0, 6.0, 7.0]	[100.0, -0.0285687, -25.78, -1000.0]
[8.0, 3.0, 5.0, 4.0, 7.0]	[100.0, -0.0290707, -26.22, -800.0]
[8.0, 4.0, 4.0, 7.0, 6.0]	[100.0, -0.0289969, -15.95, -800.0]
[7.0, 1.0, 0.0, 7.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[9.0, 4.0, 2.0, 7.0, 2.0]	[78.0, -0.0272378, -4.68, -900.0]
[7.0, 0.0, 0.0, 8.0, 3.0]	[84.2857, -0.0266248, -5.11, -700.0]
[7.0, 5.0, 3.0, 6.0, 3.0]	[100.0, -0.0288595, -5.41, -700.0]
[10.0, 6.0, 4.0, 8.0, 6.0]	[100.0, -0.0286838, -17.38, -1000.0]
[7.0, 1.0, 1.0, 8.0, 3.0]	[94.2857, -0.027634, -5.2700000000000005, -700.0]
[7.0, 0.0, 1.0, 7.0, 3.0]	[84.2857, -0.0271719, -5.2, -700.0]
[9.0, 2.0, 2.0, 8.0, 5.0]	[100.0, -0.02853, -11.24, -900.0]
[7.0, 1.0, 0.0, 6.0, 2.0]	[85.7143, -0.0276215, -4.42, -700.0]
[6.0, 6.0, 3.0, 5.0, 3.0]	[97.5, -0.0298498, -5.56, -600.0]
[1.0, 2.0, 4.0, 7.0, 5.0]	[20.4, -0.0226085, -1000000.0, -100.0]
[3.0, 5.0, 1.0, 6.0, 2.0]	[89.375, -0.0315095, -4.44, -300.0]
[6.0, 2.0, 0.0, 8.0, 4.0]	[90.0, -0.0274423, -6.44, -600.0]
[7.0, 4.0, 1.0, 8.0, 5.0]	[94.2857, -0.0287149, -10.08, -700.0]
[9.0, 4.0, 2.0, 7.0, 2.0]	[78.0, -0.0272378, -4.68, -900.0]
[8.0, 4.0, 2.0, 3.0, 1.0]	[91.6667, -0.0273537, -4.159999999999999, -800.0]
[9.0, 3.0, 1.0, 4.0, 2.0]	[72.0, -0.0272664, -4.590000000000001, -900.0]
[4.0, 5.0, 2.0, 3.0, 2.0]	[98.3333, -0.0303019, -4.44, -400.0]
[6.0, 2.0, 0.0, 8.0, 2.0]	[92.5, -0.0278199, -4.39, -600.0]
[7.0, 5.0, 3.0, 3.0, 0.0]	[92.8571, -0.0286303, -4.21, -700.0]
[9.0, 5.0, 3.0, 7.0, 5.0]	[100.0, -0.0285064, -10.11, -900.0]
[3.0, 2.0, 3.0, 4.0, 6.0]	[97.5, -0.032263, -15.37, -300.0]
[8.0, 2.0, 3.0, 6.0, 5.0]	[98.3333, -0.0291795, -9.700000000000001, -800.0]
[8.0, 5.0, 3.0, 8.0, 7.0]	[100.0, -0.0290599, -28.04, -800.0]
[7.0, 2.0, 1.0, 7.0, 3.0]	[94.2857, -0.027634, -5.2700000000000005, -700.0]
[5.0, 1.0, 0.0, 8.0, 3.0]	[76.0, -0.0284752, -5.13, -500.0]
[7.0, 4.0, 0.0, 8.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[5.0, 7.0, 2.0, 6.0, 1.0]	[83.0, -0.0296765, -4.17, -500.0]
[7.0, 3.0, 0.0, 7.0, 2.0]	[85.7143, -0.0276215, -4.42, -700.0]
[8.0, 6.0, 0.0, 8.0, 4.0]	[85.0, -0.0264823, -6.5, -800.0]
[7.0, 3.0, 1.0, 8.0, 3.0]	[94.2857, -0.027634, -5.2700000000000005, -700.0]
[5.0, 4.0, 0.0, 8.0, 4.0]	[75.0, -0.0276526, -6.590000000000001, -500.0]
[5.0, 2.0, 3.0, 7.0, 1.0]	[84.0, -0.0302282, -4.35, -500.0]
[9.0, 4.0, 0.0, 8.0, 4.0]	[70.0, -0.0259177, -6.36, -900.0]
[7.0, 4.0, 0.0, 8.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[9.0, 3.0, 2.0, 6.0, 7.0]	[100.0, -0.0284465, -25.31, -900.0]
[8.0, 7.0, 2.0, 8.0, 4.0]	[98.3333, -0.0286452, -7.0200000000000005, -800.0]
[7.0, 7.0, 0.0, 7.0, 3.0]	[91.4286, -0.0267121, -5.17, -700.0]
[8.0, 6.0, 0.0, 8.0, 2.0]	[85.0, -0.0269457, -4.47, -800.0]
[9.0, 7.0, 0.0, 6.0, 4.0]	[70.0, -0.0259177, -6.36, -900.0]
[5.0, 7.0, 0.0, 4.0, 6.0]	[66.0, -0.028503, -15.530000000000001, -500.0]
[6.0, 7.0, 0.0, 8.0, 4.0]	[90.0, -0.0274423, -6.44, -600.0]
[6.0, 6.0, 1.0, 7.0, 4.0]	[92.5, -0.0282076, -6.7, -600.0]
[7.0, 7.0, 1.0, 8.0, 6.0]	[85.7143, -0.0286257, -16.14, -700.0]
[6.0, 6.0, 0.0, 7.0, 3.0]	[88.75, -0.0265432, -5.1000000000000005, -600.0]
[10.0, 0.0, 1.0, 8.0, 7.0]	[92.0, -0.0281812, -25.17, -1000.0]
[6.0, 3.0, 4.0, 5.0, 7.0]	[100.0, -0.0292719, -25.54, -600.0]
