50,10,100,10,1,1,3,4,5,4,100.0,0.184415,7.119999999999999
5,10,100,50,1,1,3,4,5,4,100.0,0.157791,26.65
5,1,100,50,1,1,3,4,5,4,100.0,0.0182217,177.1
50,1,15,50,1,1,3,4,5,4,100.0,0.0307407,16.19
5,10,15,10,1,1,3,4,5,4,100.0,0.157073,7.119999999999999
50,1,100,10,1,1,3,4,5,4,79.2,0.03975,17.09
50,10,15,50,1,1,3,4,5,4,100.0,0.175545,6.930000000000001
5,1,15,10,1,1,3,4,5,4,100.0,0.0173047,178.29999999999998
50,10,100,10,1,2,3,4,5,4,100.0,0.184415,7.119999999999999
5,10,100,50,1,2,3,4,5,4,100.0,0.157791,26.65
5,1,100,50,1,2,3,4,5,4,100.0,0.0182217,177.1
50,1,15,50,1,2,3,4,5,4,98.2,0.0306596,15.48
5,10,15,10,1,2,3,4,5,4,100.0,0.157073,7.119999999999999
50,1,100,10,1,2,3,4,5,4,78.8,0.0390889,17.26
50,10,15,50,1,2,3,4,5,4,100.0,0.175514,26.630000000000003
5,1,15,10,1,2,3,4,5,4,100.0,0.0173047,178.29999999999998
