x	y	topsis
[4.0, 5.0, 3.0, 8.0, 7.0]	[100.0, -0.0318497, -29.080000000000002, -400.0]	0.9345240508425204
[3.0, 5.0, 4.0, 8.0, 7.0]	[100.0, -0.0337823, -29.72, -300.0]	0.9465548956502202
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 8.0, 7.0]	[100.0, -0.0337433, -29.7, -300.0]	0.946633621470054
[3.0, 7.0, 4.0, 7.0, 7.0]	[100.0, -0.033818, -28.79, -300.0]	0.9464827650750949
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 8.0, 7.0]	[100.0, -0.0337433, -29.7, -300.0]	0.946633621470054
[4.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0319506, -29.02, -400.0]	0.9343891255150981
[3.0, 7.0, 4.0, 8.0, 7.0]	[100.0, -0.0337823, -29.72, -300.0]	0.9465548956502202
[3.0, 6.0, 4.0, 8.0, 7.0]	[100.0, -0.0337823, -29.72, -300.0]	0.9465548956502202
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[2.0, 7.0, 3.0, 8.0, 7.0]	[63.6, -0.0349673, -33.18, -200.0]	0.9416030467773551
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 6.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
